나이,성별,측정항목,평균,표준편차,샘플수
43,M,flexibility,-0.06391022623178805,0.9958165925320801,303
43,M,strength,0.08472505673267328,0.7366750577348539,303
44,F,endurance,-0.40369898124725273,0.8904662000726464,182
44,F,flexibility,-0.30620566025414364,1.2005795820966825,182
44,F,strength,-0.003291519516483533,0.8665982896639791,182
44,M,endurance,-0.3576456366535714,0.752293704086548,281
44,M,flexibility,0.058825301696428564,0.9337244836445671,281
44,M,strength,0.08389593303914591,0.7625670244844501,281
45,F,endurance,-0.4484877310972223,0.728306340913176,218
45,F,flexibility,-0.29492325869124425,1.1328700223772497,218
45,F,strength,0.05693186629357797,0.7981354071599598,218
45,M,endurance,-0.5009487080280899,0.7392890629894983,356
45,M,flexibility,-0.05752984167977528,1.0050921296404622,356
45,M,strength,0.06469722844382021,0.6784553630170778,356
46,F,endurance,-0.37078577669590634,0.921577394091691,173
46,F,flexibility,-0.33940331138095237,1.064981931307822,173
46,F,strength,-0.07260134021965316,0.8728731712333551,173
46,M,endurance,-0.343626305372549,0.8331943510709259,306
46,M,flexibility,-0.16549669145544554,0.9529683341237418,306
46,M,strength,-0.012100972911764702,0.7669042343084885,306
47,F,endurance,-0.44311582469191924,0.7535733941307001,198
47,F,flexibility,-0.2596195014568528,1.1390568868461495,198
47,F,strength,-0.0022354382020201946,0.9434103414704758,198
47,M,endurance,-0.415667103771028,0.8103504620286095,214
47,M,flexibility,-0.08417847832227489,0.9415694596523532,214
47,M,strength,-0.09932630724766356,0.7398991669246104,214
48,F,endurance,-0.6319833183464912,0.7370179642306364,229
48,F,flexibility,-0.15700502116740087,1.0311053118037499,229
48,F,strength,-0.20667052583842796,0.8370842515455379,229
48,M,endurance,-0.5357232467597403,0.7724713365837768,308
48,M,flexibility,0.3066711537296417,0.9351101213850509,308
48,M,strength,-0.13638439311363637,0.7380579953432913,308
49,F,endurance,-0.5995441672063491,0.7459164593548013,253
49,F,flexibility,-0.174656645532,1.0395762344251094,253
49,F,strength,-0.16640487986561264,0.8185461881380357,253
49,M,endurance,-0.5661769978987341,0.6789398911128519,238
49,M,flexibility,-0.004185803354430381,0.9076185284548787,238
49,M,strength,-0.2766761800462185,0.735328972602225,238
50,F,endurance,-0.5526178535170069,0.8029110953482743,295
50,F,flexibility,-0.10360985907167233,1.0282727411688324,295
50,F,strength,-0.1177093057898305,0.8365305325882593,295
50,M,endurance,-0.691415712591078,0.7261634254707079,270
50,M,flexibility,-0.0476218530669145,1.0088187801178274,270
50,M,strength,-0.26248689374444445,0.6779975271945853,270
51,F,endurance,-0.6888088425304054,0.8025239287709988,296
51,F,flexibility,-0.2297542912983051,1.0299542511840203,296
51,F,strength,-0.17982930888175674,0.8033847001651918,296
51,M,endurance,-0.6249053231598514,0.715603457017216,269
51,M,flexibility,-0.024716618431226765,0.9577868134152224,269
51,M,strength,-0.25735582169888477,0.6165006083373519,269
52,F,endurance,-0.6644872647833828,0.6985940772131548,339
52,F,flexibility,-0.09466869865191739,0.9367665163370683,339
52,F,strength,-0.26853606209734515,0.7203213785719581,339
52,M,endurance,-0.6801680524738563,0.6648954887535928,308
52,M,flexibility,-0.03818074442996742,1.004803170910357,308
52,M,strength,-0.4160182309967532,0.7225689540084556,308
53,F,endurance,-0.5328340845114287,0.769710919242014,353
53,F,flexibility,-0.10911672212931035,0.9577394170599267,353
53,F,strength,-0.34601640432294617,0.6481280461847934,353
53,M,endurance,-0.719466156733746,0.6658512364831021,324
53,M,flexibility,-0.08751793104347826,0.9161433491242222,324
53,M,strength,-0.3935732074166667,0.6379614875072993,324
54,F,endurance,-0.7269237754770642,0.726259838114581,440
54,F,flexibility,-0.2542964218466819,1.0240839078331367,440
54,F,strength,-0.38288089316136364,0.7028155718578531,440
54,M,endurance,-0.7770909388591065,0.6736868825201628,292
54,M,flexibility,-0.15651390501712328,0.9378756544707646,292
54,M,strength,-0.4413583469794521,0.5231292631079447,292
55,F,endurance,-0.7475890424976527,0.7319462150067372,426
55,F,flexibility,-0.1622786107570755,0.8941714765110726,426
55,F,strength,-0.3932831569882629,0.6969049440801861,426
55,M,endurance,-0.8365539320691823,0.6973566071448112,320
55,M,flexibility,-0.19795680994375,0.9860403658405392,320
55,M,strength,-0.5284688179125,0.6460495100768252,320
56,F,endurance,-0.6994640614089775,0.7967575146106518,406
56,F,flexibility,0.003280112096202534,0.9656253421445127,406
56,F,strength,-0.42336974043596054,0.7084696182945804,406
56,M,endurance,-0.8554210353226838,0.6852013948163687,314
56,M,flexibility,-0.015205799191693292,0.9451055369188603,314
56,M,strength,-0.5066839277356688,0.5946154577280515,314
57,F,endurance,-0.7625889853292684,0.8461494672760156,331
57,F,flexibility,0.05875064251533744,0.8775149541066084,331
57,F,strength,-0.3321329934531722,0.646224258298584,331
57,M,endurance,-0.7286170149202659,0.7187245919808741,304
57,M,flexibility,0.020088810897350994,0.9209764506590787,304
57,M,strength,-0.5215050172894737,0.6503069611075047,304
58,F,endurance,-0.7700862010426829,0.7521938892075875,333
58,F,flexibility,-0.006864342801829273,0.8916958557697556,333
58,F,strength,-0.4296201507447448,0.6794950161232395,333
58,M,endurance,-0.8050570373322884,0.7394188010787835,320
58,M,flexibility,-0.005858528317610079,0.8535759894079219,320
58,M,strength,-0.536981192953125,0.6289088330300326,320
59,F,endurance,-0.7944706115467034,0.7797923126822811,369
59,F,flexibility,0.0684949495287671,0.819913799286322,369
59,F,strength,-0.4439313804878049,0.6351640682210143,369
59,M,endurance,-0.8523486088761904,0.654533209633474,316
59,M,flexibility,-0.024820570615873012,0.884711568595165,316
59,M,strength,-0.5847243752531646,0.5997885129551923,316
60,F,endurance,-0.9122772946692507,0.8113174728110155,390
60,F,flexibility,0.023612653269922883,0.8159388804614763,390
60,F,strength,-0.45833876773589743,0.6878617635544159,390
60,M,endurance,-0.9783807410431895,0.6561157469967817,603
60,M,flexibility,0.0012648162783333384,0.8448899837344535,603
60,M,strength,-0.6285303382421227,0.6126109336736529,603
61,F,endurance,-0.7938450716793003,0.8738235681937997,346
61,F,flexibility,0.05760989583430233,0.899926357054455,346
61,F,strength,-0.476716969566474,0.6184413624970748,346
61,M,endurance,-0.9642965597561476,0.7555216106767096,492
61,M,flexibility,0.02651612973265306,0.8242598793276665,492
61,M,strength,-0.717643105445122,0.6074809219426601,492
62,F,endurance,-0.8350661888197531,0.9004436931006394,408
62,F,flexibility,0.03091982070049506,0.8657269190564532,408
62,F,strength,-0.540725851127451,0.6738451530237668,408
62,M,endurance,-1.0084817034262878,0.6867484758011382,565
62,M,flexibility,-0.05607566869203539,0.8978491674034856,565
62,M,strength,-0.6931083700230088,0.6078281870041671,565
