나이,성별,측정항목,평균,표준편차,최소값,최대값,샘플수
37,F,vo2max,113.05555555555556,15.306562307494215,88.0,145.0,18
37,M,grip_right,25.998305084745763,3.975609033617246,18.1,49.9,118
37,M,shuttle_run,39.13829787234043,3.8472775914749042,30.4,50.6,47
37,M,sit_up,40.144067796610166,12.191685147279971,1.0,65.0,118
37,M,vo2max,112.6140350877193,21.19278380045983,77.0,182.0,57
38,F,grip_right,23.479069767441857,4.81236295485932,11.7,39.5,43
38,F,shuttle_run,31.050000000000004,2.6129117268495117,24.2,34.6,14
38,F,sit_up,25.488372093023255,11.709524192324436,4.0,54.0,43
38,F,vo2max,113.08,18.544810594880715,71.0,143.0,25
38,M,grip_right,25.825233644859814,3.408593287503228,19.9,41.6,107
38,M,shuttle_run,39.16315789473684,6.260792672922045,22.3,49.7,38
38,M,sit_up,42.11214953271028,10.238041438953593,10.0,64.0,107
38,M,vo2max,106.68,19.429033607948067,63.0,148.0,50
39,F,grip_right,22.992307692307698,3.5102395041532732,16.8,31.9,39
39,F,shuttle_run,31.53,4.014155508253816,25.2,37.2,10
39,F,sit_up,27.666666666666668,11.526476006256509,6.0,61.0,39
39,F,vo2max,110.84210526315789,17.969922889510983,82.0,150.0,19
39,M,grip_right,24.952173913043474,3.3611909915638,16.8,35.0,115
39,M,shuttle_run,38.511428571428574,3.699027807774508,30.5,49.6,35
39,M,sit_up,40.48695652173913,10.19319106878507,1.0,63.0,115
39,M,vo2max,110.85507246376811,20.846268788949796,63.0,154.0,69
40,F,grip_right,22.214634146341464,4.2488563741087875,17.5,38.8,41
40,F,shuttle_run,33.46666666666667,2.3508863576673944,30.8,37.2,6
40,F,sit_up,26.0,10.0174847142384,7.0,44.0,41
40,F,vo2max,108.55,19.599879161818695,60.0,139.0,20
40,M,grip_right,26.108695652173914,3.538598846501876,19.8,37.8,92
40,M,shuttle_run,39.19722222222223,4.738443753633592,30.8,46.9,36
40,M,sit_up,39.891304347826086,11.440679801652388,0.0,64.0,92
40,M,vo2max,112.97727272727273,14.659687861716561,79.0,139.0,44
41,F,grip_right,24.239024390243905,4.068776108904279,18.8,36.1,41
41,F,shuttle_run,29.915384615384617,4.231005820890613,22.3,36.3,13
41,F,sit_up,22.853658536585368,10.946599873042214,0.0,41.0,41
41,F,vo2max,121.95238095238095,16.892235466261386,89.0,147.0,21
41,M,grip_right,26.637272727272723,4.753228918776713,21.4,52.8,110
41,M,shuttle_run,38.98409090909091,4.7136093503622485,24.8,49.8,44
41,M,sit_up,38.17272727272727,12.800415052695273,0.0,61.0,110
41,M,vo2max,109.94545454545455,22.620392456413192,69.0,170.0,55
42,F,grip_right,23.109090909090906,3.5911312669162867,18.0,37.0,66
